generic_name,dosage_form,is_available
Aceclofenac,tablet,1
Acetylcysteine,tablet,1
Aciclovir,syrup,1
Acuflam,spray,1
Adenosine,ampule,1
Aescin Diethylamine Salicylate,gel,1
Agmaset,capsule,1
Alendronic Acid,tablet,1
Alendronic Acid Colecalciferol,tablet,1
Allopurinol,tablet,1
Alpha Ketoanalogues Essential Amino Acids,,1
Ambilin,vial,1
Ambroxol,syrup,1
Ambroxol Od,capsule,1
Amikacin,ampule,1
Amino Acid Sorbitol,,1
Amino Acids In Sorbitol,vial,1
Amino Acids Sorbitol,vial,1
Aminophylline,ampule,1
Amiodarone,tablet,1
Amlodipine,tablet,1
Amlodipine Indapamide,tablet,1
Amlodipine Losartan,tablet,1
Amlodipine Losartan Potassium,tablet,1
Amlodipine Valsartan,tablet,1
Amoxicillin,drops,1
Amoxicillin Mlsuspension,suspension,1
Ampicillin,vial,1
Ampicillin Sulbactam,vial,1
Ampicillin Sulbactan,vial,1
Anti Rabies Serum,,1
Apixaban,tablet,1
Appegain Advancce Caps,,1
Ascorbate,capsule,1
Ascorbate Zinc,syrup,1
Ascorbic Acid,drops,1
Ascorbic Acid Taurine Lysine,syrup,1
Ascorbic Acid Zinc,syrup,1
Ascorbic Acids,drops,1
Ascorbic Zinc,,1
Aspirin,tablet,1
Atenolol,tablet,1
Atorvast Perindopril Arginine Amlodipine,tablet,1
Atorvastatin,tablet,1
Atracurium,,1
Atropine,ampule,1
Ats,ampule,1
Azithromycin,tablet,1
Aztreonam,vial,1
Bacillus Clausii,,1
Bemiparin,injection,1
Benzylpenicillin,vial,1
Berafen,capsule,1
Betahistine,tablet,1
Bicarbonate,ampule,1
Bisacodyl,suppository,1
Bisacodyl Suppsitory,,1
Bisoprolol,tablet,1
Bleomycin,vial,1
Budesonide,nebule,1
Budesonide Dinosed,nebule,1
Budesonide Formoterol,inhaler,1
Bumetanide,tablet,1
Bupivacaine,ampule,1
Butamirate,tablet,1
Calcium Carbonate Vit D,tablet,1
Calcium Carbonate Vitamin D,tablet,1
Calcium Gluconate,,1
Canvedilol Ivabradine,,1
Captopril,tablet,1
Carbocisteine,capsule,1
Carbocisteine Zinc,capsule,1
Carvedilol,tablet,1
Carvida,tablet,1
Cefaclor,drops,1
Cefalexin Ml,drops,1
Cefazolin,vial,1
Cefdinr,capsule,1
Cefepime,vial,1
Cefixime,suspension,1
Cefixime Caps,,1
Cefixime Film Coated,tablet,1
Cefixime Ng,capsule,1
Cefoperazone Sulbactam,vial,1
Cefotaxime,vial,1
Cefoxitin,vial,1
Cefoxitin Ig,vial,1
Ceftazidime,vial,1
Ceftriaxone,vial,1
Ceftriaxone Sulbactam,vial,1
Cefuroxime,vial,1
Celecoxib,capsule,1
Cetirizine,tablet,1
Cetirizine Phenylephrine,syrup,1
Cevertron,tablet,1
Chirocaine,ampule,1
Chloramphenicol Palmitate,suspension,1
Chloride,spray,1
Chlorphenamine,tablet,1
Choline Salicylate Benzalkonium Chloride,gel,1
Cilostazol,tablet,1
Cinnarizine,tablet,1
Ciprofloxacin,vial,1
Ciprogyl Nl,vial,1
Citicoline,ampule,1
Clarithromycin,suspension,1
Clarithromycin Suspesnion,suspension,1
Clindamycin,capsule,1
Cloheal,tablet,1
Clonidine,tablet,1
Clopidogrel,tablet,1
Clopidogrel Aspirin,tablet,1
Clopidogrel Bisulfate Aspirin,tablet,1
Clotrimazole,drops,1
Clotrimazole Beclometasone G G,cream,1
Clotrimazole Beclometasone Gentamicin W W,cream,1
Clovimed,,1
Cloxacillin,suspension,1
Co Amoxiclav,suspension,1
Co Amoxiclav Enhamox,suspension,1
Colchicine,tablet,1
Cotrimazole,tablet,1
Cotrimoxazole,suspension,1
Cozith S,tablet,1
Dabigatran Etexilate,capsule,1
Dapagliflozin,tablet,1
Dapaglifozin,tablet,1
Daryl Suspesion,suspension,1
Deferoxamine,vial,1
Desonide,cream,1
Dexamethasone,tablet,1
Dexamethasone Dexasan,ampule,1
Dexamethasone Iv,ampule,1
Dexamrthasone Sod Phos,,1
Diacerein,tablet,1
Diazepam,ampule,1
Dibenconazole,,1
Digoxin,tablet,1
Diosmin Hesperidin,tablet,1
Diphenhydramine,ampule,1
Diphenhydramine Omg,capsule,1
Disudrin,drops,1
Dobutamine,vial,1
Domperidone,suspension,1
Dopamine,ampule,1
Doxofylline,tablet,1
Doxycycline,tablet,1
Dutasteride Tamsulosin,tablet,1
Edoxaban,tablet,1
Enfamil Catch Up,,1
Enfamil One,,1
Enfamil One Milk Formula Can,,1
Enoxaparin,injection,1
Enoxaparin Syringe,,1
Ephedrine,ampule,1
Epinephrine,ampule,1
Epinephrine Mlampule,ampule,1
Epoetin Alfa Ml,,1
Ergomet,ampule,1
Ertapenem,vial,1
Erythromycin,ointment,1
Erythromycin Ethylsuccinate,drops,1
Esmolol,vial,1
Esomeprazole,capsule,1
Etoricoxib,tablet,1
Famotidine,vial,1
Feboxostat,tablet,1
Febuxostat,tablet,1
Fenofibrate,capsule,1
Fentanyl,ampule,1
Ferrous,tablet,1
Fexoxan,tablet,1
Flu Vaccine Adult,,1
Fluconazole,vial,1
Flumazenil,ampule,1
Flunarizine,capsule,1
Fluocinolone Acetonide Polymyxin B Neomycin,drops,1
Fluphenazine,ampule,1
Fluticasone Salmetarol Metered Dose,inhaler,1
Fluticasone Salmeterol,inhaler,1
Folic Acid,drops,1
Fondaparinux,,1
Food Supplement,,1
Foskina,ointment,1
